eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100004685,000161438,Škola umeleckého priemyslu,Škola umeleckého priemyslu,"Staničná 8, Trenčín",Trenčiansky,ss:4,,,
100002394,000161454,Stredná priemyselná škola elektrotechnická,SPŠ elektrotechnická,"Brezová, Piešťany",Trnavský,"ss:9,ss:4",,,
100009338,000161471,Stredná priemyselná škola Jozefa Murgaša,SPŠ J .M.,"Hurbanova 6, Banská Bystrica",Banskobystrický,"ss:9,ss:4",,,
100008561,000161551,Škola umeleckého priemyslu,Škola umeleckého priemyslu,"Scota Viatora, Ružomberok",Žilinský,ss:4,,,
100010042,000161560,Stredná priemyselná škola stavebná  Oskara Winklera - Winkler Oszkár Építöipari Szakközépiskola,SPŠ stavebná O.W.,"B. Němcovej 1, Lučenec",Banskobystrický,ss:4,,,
100008004,000161578,Stredná priemyselná škola technická,SPŠ technická,"L. Novomeského 24, Martin",Žilinský,"ss:9,ss:4",,,
100003425,000161586,Stredná priemyselná škola,SPŠ Dubnica nad Váhom,"Obrancov mieru 1, Dubnica nad Váhom",Trenčiansky,"ss:9,ss:4",,,
100003980,000161594,Stredná priemyselná škola,SPŠ,"slovenských partizánov 52, Považská Bystrica",Trenčiansky,"ss:9,ss:4",,,
100010622,000161632,Stredná odborná škola,Stredná odborná škola,"Jesenského 903, Tisovec",Banskobystrický,"ss:9,ss:4",,,
100009279,000161691,Stredná priemyselná škola stavebná,SPŠ stavebná,"Veľká okružná, Žilina",Žilinský,"ss:9,ss:4",,,
100011452,000161705,Stredná priemyselná škola technická,Str. priemyselná škola technická,"Komenského 5, Bardejov",Prešovský,"ss:9,ss:4",,,
100013363,000161721,Stredná priemyselná škola,Str. priemyselná škola,"Partizánska 1059, Snina",Prešovský,"ss:9,ss:4",,,
100014673,000161730,Stredná priemyselná škola dopravná,SPŠ dopravná,"Hlavná 113, Košice-Staré Mesto",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100014610,000161756,Stredná priemyselná škola elektrotechnická,SPŠ elektrotechnická,"Komenského 44, Košice-Sever",Košický,"ss:9,ss:4",,,
